STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,EVAP,MDPR,PGTM,PRCP,RAIN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT10,WT11
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/28/2018,7.83,,,,,0.01,1,0,0,86,95,80,,160,160,,,17,23,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/29/2018,8.72,,,,,0,0,0,0,86,95,79,,160,160,,,18.1,23,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,6/30/2018,8.28,,,,,0,0,0,0,86,96,79,,160,210,,,17,25.9,,,,,,,1,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/1/2018,7.61,,,,,0,0,0,0,86,97,75,,150,120,,,18.1,23,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/2/2018,4.92,,,,,0,0,0,0,86,97,77,,150,140,,,16.1,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/3/2018,6.49,,,,,0,0,0,0,86,97,76,,30,30,,,23.9,28,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/4/2018,5.59,,,,,4.19,1,0,0,78,78,72,,80,200,,,14.1,19.9,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/5/2018,5.82,,,,,0.05,1,0,0,80,94,72,,350,340,,,21,23.9,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/6/2018,5.82,,,,,0.03,1,0,0,83,93,74,,110,100,,,21.9,28,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/7/2018,5.37,,,,,0,0,0,0,82,93,74,,20,20,,,17,21.9,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/8/2018,3.8,,,,,0.19,1,0,0,78,88,74,,150,160,,,21,23.9,1,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/9/2018,3.36,,,,,0,0,0,0,79,86,75,,230,230,,,14.1,18.1,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/10/2018,3.58,,,,,0,0,0,0,81,93,73,,140,150,,,15,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/11/2018,4.92,,,,,0,0,0,0,85,96,77,,150,130,,,13,15,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/12/2018,4.92,,,,,0,0,0,0,85,95,78,,130,220,,,16.1,21,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/13/2018,4.7,,,,,0,0,0,0,83,95,75,,140,160,,,16.1,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/14/2018,4.7,,,,,0.02,1,0,0,85,94,76,,170,140,,,16.1,23,,,1,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/15/2018,4.92,,,,,0,0,0,0,85,95,77,,190,180,,,12.1,16.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/16/2018,4.92,,,,,0,0,0,0,86,97,76,,250,240,,,12.1,16.1,1,,,,,,1,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/17/2018,5.82,,,,,0,0,0,0,86,96,77,,210,250,,,12.1,17,1,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/18/2018,6.49,,,,,0,0,0,0,87,97,79,,270,270,,,14.1,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/19/2018,7.38,,,,,0,0,0,0,87,98,80,,240,230,,,15,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/20/2018,7.16,,,,,0,0,0,0,88,99,80,,230,230,,,15,21.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/21/2018,6.49,,,,,0,0,0,0,89,99,80,,210,220,,,14.1,18.1,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/22/2018,8.05,,,,,0,0,0,0,89,100,80,,250,240,,,14.1,19.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/23/2018,7.16,,,,,0,0,0,0,89,101,80,,270,230,,,13,19,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/24/2018,6.71,,,,,0,0,0,0,89,96,77,,60,70,,,18.1,21.9,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/25/2018,4.92,,,,,0,0,0,0,85,97,74,,70,70,,,15,19,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/26/2018,5.82,,,,,0,0,0,0,86,100,75,,40,60,,,17,23,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/27/2018,4.92,,,,,0,0,0,0,87,99,74,,140,110,,,14.1,17,,,,,,,,,
USW00012960,"HOUSTON INTERCONTINENTAL AIRPORT, TX US",29.98,-95.36,29,7/28/2018,5.14,,,,,0,0,0,0,87,98,77,,140,140,,,15,19.9,,,,,,,,,
